startdate,enddate,status,progress,duration (in seconds),finished,recordeddate,responseid,distributionchannel,userlanguage,consent,attention,competence_expert,competence_intelligent,competence_qualified,integrity_honest,integrity_ethical,integrity_sincere,benevolence_concerned,benevolence_improve,benevolence_otherinterest,openness_open,openness_transparent,openness_otherviews,impressiveness,condition,prolific_pid,trust,competence,benevolence,integrity,openness,date
2025-11-04 08:31:29,2025-11-04 08:33:11,IP Address,100,102,True,2025-11-04 08:33:12,R_5GiVG5E1tiv0Cs9,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,72,64,77,62,57,62,70,63,66,80,65,71,4,impressive,67dc51d9451653b8b4662d1f,67.41666666666667,71,66.33333333333333,60.333333333333336,72,"November 04, 2025"
2025-11-04 08:31:13,2025-11-04 08:33:31,IP Address,100,138,True,2025-11-04 08:33:32,R_3eXooMZ1f9C31Ym,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,86,99,86,83,79,90,93,78,68,67,96,72,4,random,66d3274252d61ef65f0cc099,83.08333333333333,90.33333333333333,79.66666666666667,84,78.33333333333333,"November 04, 2025"
2025-11-04 08:31:02,2025-11-04 08:33:35,IP Address,100,153,True,2025-11-04 08:33:36,R_5Ca98OQxsSAgPeg,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,95,98,86,71,76,50,76,93,86,95,91,96,4,impressive,62961bfdbe5f238d3225db72,84.41666666666667,93,85,65.66666666666667,94,"November 04, 2025"
2025-11-04 08:31:09,2025-11-04 08:33:36,IP Address,100,147,True,2025-11-04 08:33:36,R_1Ge2X51rlGF7a3e,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,48,55,50,25,25,25,30,24,50,40,30,45,1,combination,65c0ed76e2e195876cfd9b74,37.25,51,34.666666666666664,25,38.333333333333336,"November 04, 2025"
2025-11-04 08:31:47,2025-11-04 08:33:37,IP Address,100,109,True,2025-11-04 08:33:37,R_1P4w6Yru5H0fBVM,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,95,95,85,85,85,75,65,60,75,85,90,3,control,5ed85f199883863679e485c8,82.08333333333333,93.33333333333333,66.66666666666667,85,83.33333333333333,"November 04, 2025"
2025-11-04 08:31:51,2025-11-04 08:33:45,IP Address,100,114,True,2025-11-04 08:33:46,R_18GHnYl25UhUwvC,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,90,95,95,95,95,95,95,95,90,90,95,4,impressive,675a42d99110f59947a4f393,93.33333333333333,91.66666666666667,95,95,91.66666666666667,"November 04, 2025"
2025-11-04 08:32:06,2025-11-04 08:33:56,IP Address,100,110,True,2025-11-04 08:33:57,R_5CjQlFRJYkP1JoA,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,0,50,50,0,0,0,0,0,0,0,0,0,1,random,6644f37947ff3c7c3f9bbca1,8.333333333333334,33.333333333333336,0,0,0,"November 04, 2025"
2025-11-04 08:30:52,2025-11-04 08:34:23,IP Address,100,211,True,2025-11-04 08:34:24,R_5E52bcv6fElkq4O,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,60,75,70,65,75,75,65,70,65,75,80,65,3,control,5eced9328405902eef967571,70,68.33333333333333,66.66666666666667,71.66666666666667,73.33333333333333,"November 04, 2025"
2025-11-04 08:31:38,2025-11-04 08:34:25,IP Address,100,167,True,2025-11-04 08:34:26,R_30q9gL7g8de0hpS,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,100,100,100,100,100,100,100,100,100,93,96,87,4,combination,565c6791c121fe0012fc3caf,98,100,100,100,92,"November 04, 2025"
2025-11-04 08:31:06,2025-11-04 08:34:26,IP Address,100,199,True,2025-11-04 08:34:27,R_3GCzPLiCtxMjHti,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,80,88,80,88,86,88,86,87,87,87,90,82,4,combination,611bfbd4af7fa6a01a106813,85.75,82.66666666666667,86.66666666666667,87.33333333333333,86.33333333333333,"November 04, 2025"
