StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Attention,Competence_1,Intelligence_1,Qualification_1,Honesty_1,Ethic_1,Sincerity_1,Concern_1,Eagerness_1,Consideration_1,Feedback_1,Transparency_1,Attentiveness_1,Impressiveness,condition,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent.

Before proceeding, please consider the following information:

The survey will take about 5 minutes to complete. There are no risks involved in this study.

You will be paid for your participation at the posted rate (provided that you complete the whole study). 

Your individual privacy will be maintained in all published and written data resulting from the study.

Participation in this research study is voluntary. You may choose not to participate.

By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says: “I don’t want to play this game anymore!To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”

Do you agree with your friend ?",How incompetent or competent are most climate scientists?,How unintelligent or intelligent are most climate scientists?,How unqualified or qualified are most climate scientists?,How dishonest or honest are most climate scientists ?,How unethical or ethical are most climate scientists?,How insincere or sincere are most climate scientists?,How unconcerned or concerned are most climate scientists about people’s wellbeing?,How uneager or eager are most climate scientists to improve others’ lives?,How inconsiderate or considerate are most climate scientists of others’ interests?,"How open, if at all, are most climate scientists to feedback?",How unwilling or willing are most climate scientists to be transparent?,How little or much attention do climate scientists pay to others' views?,How impressive do you think the climate scientists described in the text are?,condition,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID1219003589_1""}","{""ImportId"":""QID1219003590_1""}","{""ImportId"":""QID1219003591_1""}","{""ImportId"":""QID1219003652""}","{""ImportId"":""condition""}","{""ImportId"":""PROLIFIC_PID""}"
2025-11-04 08:31:29,2025-11-04 08:33:11,IP Address,100,102,True,2025-11-04 08:33:12,R_5GiVG5E1tiv0Cs9,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,72,64,77,62,57,62,70,63,66,80,65,71,4 - Very impressive,impressive,67dc51d9451653b8b4662d1f
2025-11-04 08:31:13,2025-11-04 08:33:31,IP Address,100,138,True,2025-11-04 08:33:32,R_3eXooMZ1f9C31Ym,anonymous,EN,I give my informed consent to participate in this study.,"I pay attention ",86,99,86,83,79,90,93,78,68,67,96,72,4 - Very impressive,random,66d3274252d61ef65f0cc099
2025-11-04 08:31:02,2025-11-04 08:33:35,IP Address,100,153,True,2025-11-04 08:33:36,R_5Ca98OQxsSAgPeg,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,95,98,86,71,76,50,76,93,86,95,91,96,4 - Very impressive,impressive,62961bfdbe5f238d3225db72
2025-11-04 08:31:09,2025-11-04 08:33:36,IP Address,100,147,True,2025-11-04 08:33:36,R_1Ge2X51rlGF7a3e,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,48,55,50,25,25,25,30,24,50,40,30,45,1 - Not very impressive,combination,65c0ed76e2e195876cfd9b74
2025-11-04 08:31:47,2025-11-04 08:33:37,IP Address,100,109,True,2025-11-04 08:33:37,R_1P4w6Yru5H0fBVM,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,95,95,85,85,85,75,65,60,75,85,90,3 - Quite impressive,control,5ed85f199883863679e485c8
2025-11-04 08:31:51,2025-11-04 08:33:45,IP Address,100,114,True,2025-11-04 08:33:46,R_18GHnYl25UhUwvC,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,90,90,95,95,95,95,95,95,95,90,90,95,4 - Very impressive,impressive,675a42d99110f59947a4f393
2025-11-04 08:32:06,2025-11-04 08:33:56,IP Address,100,110,True,2025-11-04 08:33:57,R_5CjQlFRJYkP1JoA,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,0,50,50,0,0,0,0,0,0,0,0,0,1 - Not very impressive,random,6644f37947ff3c7c3f9bbca1
2025-11-04 08:30:52,2025-11-04 08:34:23,IP Address,100,211,True,2025-11-04 08:34:24,R_5E52bcv6fElkq4O,anonymous,EN,I give my informed consent to participate in this study.,I pay attention,60,75,70,65,75,75,65,70,65,75,80,65,3 - Quite impressive,control,5eced9328405902eef967571
